Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",More engaging work,Frustrated,45 - 54,Male,Employed part-time,United Kingdom,Somewhat,Honesty. Kindness. Competence.,Compassion,Empathy
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Often,Rarely,Often,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",more self discipline would help. ,frustrated,55 +,Female,Employed part-time,UK,Not really,Kindness,Acceptance,Loyalty
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Quiet spaces to do work,Frustrated ,45 - 54,Female,Employed full-time,Uk,Somewhat,"Family, trust, friendship ",,
"Yes, I consent",11–20 minutes,"Email or messaging apps, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise",I just would want my brain to be able to not get so easily caught up on a random thought that enters my brain completely unrelated to what I'm doing.,Frustrated,18 - 24,Female,Student,Australia,Somewhat,Honesty,Consistency,Trust
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise",Feeling that what I am contributing towards really makes a difference,Disappointed,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Loyalty,Kindness,Professionlism
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would be more accepting of loud noises. ,Annoyed,35 - 44,Male,Employed full-time,USA,Somewhat,Family,Health,Career
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",take my phone off me,disappointed,55 +,Male,Employed full-time,United Kingdom/London,Somewhat,honesty,kindness,ambition
"Yes, I consent",21–30 minutes,Smartphone notifications,Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Silencing notifications,Friends respecting my working hours and not trying to distract me,Frustrated,25 - 34,Female,Self-employed,United Kingdom,Somewhat,Intergrity,Protecting one's own peace,Sharing knowledge
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Taking breaks / exercise,Take a break more often and make sure that I am hydrated enough as at times I am sluggish by not drinking sufficient water,Frustrayed,55 +,Male,Other,Tyne and Wear-England,Yes definitely,"Humility, caring, friendly",,
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Often,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",cut down on questions from colleagues,frustrated,55 +,Male,Employed full-time,united kingdom,Yes definitely,"honesty, ",loyalty,hard working
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Almost always,Often,Often,Neutral,No noticeable difference,None of the above,Help me concentrate better ,Bored ,45 - 54,Male,Employed full-time,United Kingdom,Not really,Precision ,,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",have a quieter working environment where there is no noise ,annoyed,45 - 54,Female,Employed full-time,U.K,Not really,family,contentment,stress free
"Yes, I consent",11–20 minutes,Smartphone notifications,Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,Silencing notifications,"Practice more, I feel i was more able to focus previously. Maybe take my smart watch off as it buzzes on my wrist even when my phone is on silent",Annoyed,45 - 54,Female,Employed part-time,United Kingdom,Somewhat,honesty,hard work,Integrity
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",The temptation to multi-task,annoyed ,55 +,Female,Employed part-time,UK/North West,Yes definitely,kindness,honesty,resiliance
"Yes, I consent",11–20 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To be able to block out outside/background noises. ,Frustrated ,35 - 44,Female,Self-employed,United Kingdom ,Somewhat,Kind and compassionate ,Strong,Honest/loyal
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Almost always,Often,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",I would increase my ability to concentrate as and when needed,"I feel frustrated, especially when I have a looming deadline",25 - 34,Female,Employed full-time,united kingdom,Somewhat,"fulfillment, relationships, happiness",,
"Yes, I consent",11–20 minutes,"Background noise / environment, Colleagues, family, or friends, Cat demanding attention.",Rarely,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Be able to ignore external noise.,Frustrated.,55 +,Female,Self-employed,UK,Yes definitely,Truth,Reason,Honesty
"Yes, I consent",11–20 minutes,"Smartphone notifications, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,Probably my attention span,Resigned,35 - 44,Female,Employed full-time,UK,"No, not at all",Integrity,honesty,kindness
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Taking breaks / exercise,move my phone but that would cause more anxiety in case i missed aomething important (e.g child's school),frustrated,45 - 54,Female,Employed part-time,england,Somewhat,honesty,kindness,loyalty
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Often,Often,Sometimes,Somewhat misaligned,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise",Stronger resistance to idly checking my phone/personal browser every 15 mins in work,Aching,25 - 34,Male,Employed full-time,United Kingdom,Not really,Self-identity,Consistent personality,Thoughtfulness
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Often,Rarely,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",Allow myself to have fleeting thoughts without getting distracted by pursuing them,Unmoored,25 - 34,Male,Unemployed,UK,Somewhat,Sincerity,Empathy,Open-mindedness
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,The internal worries and thoughts are the hardest.  If I could figure a way around those it would be great.,arghhhh!,45 - 54,Female,Employed full-time,Scotland,Somewhat,Honesty,Kindness,Tenacity
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Often,Sometimes,Neutral,Neutral,"Working in quiet spaces, Taking breaks / exercise",deadlines,n/a,25 - 34,Male,Employed full-time,North west England,Somewhat,Family ,,
"Yes, I consent",5–10 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Almost always,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Making sure I don't procrastinate whenever I have important tasks to do,immature ,25 - 34,Male,Employed full-time,United Kingdom,Yes definitely,"patience, perseverance and professionalism",adaptable,intelligent 
"Yes, I consent",More than 30 minutes,Smartphone notifications,Never,Never,Never,Somewhat aligned,No noticeable difference,Taking breaks / exercise,Unsure,Frustrated,45 - 54,Female,Other,Scotland,Somewhat,honesty,reliability,happiness
"Yes, I consent",Less than 5 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Almost always,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Knowing that I will achieve what I set out to do,incapable,55 +,Female,Employed full-time,England,Somewhat,Supportive,Hardworking,Generous 
"Yes, I consent",5–10 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Often,Often,Often,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Ability to block access to phone for periods of time,Frustrated ,45 - 54,Female,Employed full-time,UK,Somewhat,"Fairness, compassion, equality",,
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Aligning tasks with personal priorities or values",Just becoming more aware or willing to focus on the task I’m doing and avoiding distractions ,Undisciplined ,25 - 34,Female,Employed full-time,United Kingdom,Somewhat,"Professional, efficient, technical",,
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Focus on important thoughts,Distracted,35 - 44,Female,Employed full-time,England,Not really,Happiness,,
"Yes, I consent",5–10 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Almost always,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise","to have more concentration, my concentration is very poor and is getting worse with age",frustrated,35 - 44,Female,Other,UK,Somewhat,loyal,considerate,caring
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Nothing other than well-aligned tasks,distracted,55 +,Male,Other,UK,Yes definitely,Honesty,Decency,Compassion
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Almost always,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Using apps/tools to block distractions, Taking breaks / exercise","I would improve the place in which I am working, in order to avoid noisy distractions (neighbours, etc).",Frustrated.,35 - 44,Female,Unemployed,England,Somewhat,Kindness,Honesty,Willingness to help others
